track_id,frames_checked,centroid_identity_errors,large_step_jumps,max_step_px,median_step_px,large_step_threshold_px,passed
1,49,0,0,18.0,0.0,30.0,True
2,35,0,1,35.9500740512847,1.1513878188659974,30.0,False
4,35,0,0,24.041630560342615,0.0,30.0,True
5,54,0,1,45.5411901469428,0.0,30.0,False
6,30,0,0,55.036351623268054,11.40175425099138,68.41052550594827,True
8,30,0,0,31.827660925679098,5.852349955359813,35.11409973215888,True
9,78,0,0,22.47220505424423,1.5,30.0,True
11,6,0,0,26.0,0.0,30.0,True
12,6,0,0,28.178005607210743,24.413111231467404,146.4786673888044,True
13,46,0,1,40.311288741492746,0.0,30.0,False
16,38,0,0,18.867962264113206,2.0,30.0,True
17,38,0,1,46.32493928760188,5.220153254455275,31.32091952673165,False
18,60,0,0,19.0,0.0,30.0,True
19,24,0,1,31.32091952673165,2.0615528128088303,30.0,False
20,13,0,0,17.72004514666935,10.220153254455276,61.32091952673166,True
21,4,0,0,4.0,1.0,30.0,True
22,84,0,0,27.115493725912497,1.0,30.0,True
23,69,0,1,40.02811511925087,0.0,30.0,False
24,15,0,0,17.613914953808536,1.0,30.0,True
25,15,0,0,15.945218719101975,0.25,30.0,True
26,74,0,0,22.20360331117452,2.23606797749979,30.0,True
27,4,0,0,8.54400374531753,0.0,30.0,True
28,26,0,0,20.12461179749811,0.0,30.0,True
32,24,0,0,15.20690632574555,6.082762530298219,36.49657518178932,True
34,2,0,0,11.045361017187261,11.045361017187261,66.27216610312357,True
35,19,0,0,22.02271554554524,11.0,66.0,True
36,30,0,1,49.09175083453431,6.082762530298219,36.49657518178932,False
41,2,0,0,14.866068747318506,14.866068747318506,89.19641248391103,True
42,5,0,0,27.721832551258224,13.139524085587654,78.83714451352593,True
43,2,0,0,9.848857801796104,9.848857801796104,59.093146810776624,True
44,58,0,0,20.248456731316587,0.0,30.0,True
45,55,0,0,27.018512172212592,0.5,30.0,True
